TEMP K,LIQUID RHOMX kmol/cum,LIQUID CPMX kJ/kmol-K,LIQUID MUMX cP,LIQUID HMX kJ/kmol,LIQUID TBUB K,LIQUID KMX kW/m-K,Composition
376.15,40.9638,62.6923,26.2549,-303205.0,376.15,0.000772882,0.12
377.15,40.3255,61.8166,34.8893,-304712.0,377.15,0.000777587,0.12
378.15,39.7309,60.976,45.7282,-306157.0,378.15,0.00078194,0.12
379.15,39.1761,60.169,59.1525,-307544.0,379.15,0.000785977,0.12
380.15,38.6574,59.3941,75.5668,-308875.0,380.15,0.00078973,0.12
381.15,38.1717,58.6497,95.3931,-310154.0,381.15,0.000793227,0.12
382.15,37.7162,57.9346,119.063,-311381.0,382.15,0.000796492,0.12
383.15,37.2883,57.2475,147.008,-312560.0,383.15,0.000799548,0.12
293.15,52.8499,73.206,2.51515,-289613.0,366.226,0.000622419,0.15
294.15,52.8391,73.1957,2.45086,-289540.0,366.226,0.000623825,0.15
295.15,52.8277,73.1864,2.38878,-289466.0,366.226,0.000625218,0.15
296.15,52.8159,73.1781,2.32882,-289393.0,366.226,0.000626598,0.15
297.15,52.8035,73.1709,2.2709,-289320.0,366.226,0.000627965,0.15
298.15,52.7907,73.1645,2.21493,-289247.0,366.226,0.00062932,0.15
299.15,52.7774,73.159,2.16084,-289174.0,366.226,0.000630661,0.15
300.15,52.7636,73.1542,2.10854,-289101.0,366.226,0.00063199,0.15
301.15,52.7494,73.1502,2.05797,-289027.0,366.226,0.000633306,0.15
302.15,52.7348,73.1469,2.00906,-288954.0,366.226,0.000634609,0.15
303.15,52.7197,73.1442,1.96174,-288881.0,366.226,0.0006359,0.15
304.15,52.7042,73.1422,1.91595,-288808.0,366.226,0.000637178,0.15
305.15,52.6883,73.1407,1.87163,-288735.0,366.226,0.000638443,0.15
306.15,52.672,73.1397,1.82872,-288662.0,366.226,0.000639696,0.15
307.15,52.6552,73.1393,1.78718,-288589.0,366.226,0.000640936,0.15
